51300033246,agf,284,58
51300050193,gaa,262,250
51300101917,eab,97,122
51300121841,dcb,148,71
51300138843,aaa,122,279
51300158225,gdc,281,268
51300164624,aeb,90,73
51300203880,faf,132,250
51300206420,cdb,183,56
51300227781,bca,49,298
51300300294,fbf,231,278
51300391884,fgb,197,106
51300403173,eec,34,223
51300407120,gdb,236,239
51300417418,cef,296,187
51300419302,eba,190,240
51300424737,bgb,118,146
51300430545,gbb,88,40
51300437569,cfa,179,7
51300610126,gga,267,221
51300632500,dag,39,200
51300676343,cfb,189,222
51300685329,ada,220,93
51300741318,fbg,143,132
51300800079,ddc,76,110
51300823753,ebg,262,124
51300830542,cfd,216,259
51300841163,gbg,223,139
51300884600,dgc,113,118
51300888119,ccg,230,126
51300919021,egc,38,156
51300923771,ecc,83,97
51300924547,cdb,248,54
51301022436,gab,171,280
51301032684,eda,152,74
51301118083,cce,181,86
51301154359,fdc,272,297
51301165801,dcd,214,233
51301181435,eec,290,229
51301216523,cff,12,264
51301236161,dbg,244,177
51301294753,ecc,194,87
51301338348,ggf,188,295
51301363357,feb,40,159
51301407593,ceb,141,45
51301410356,ceb,74,51
51301416143,eca,244,291
51301427202,cgf,120,26
51301428248,cfg,72,207
51301432189,fdb,30,153
51301559222,gfe,264,35
51301563604,bfg,127,107
51301572230,fba,7,85
51301628673,gbb,9,33
51301640435,agc,151,140
51301701232,cag,19,102
51301702126,eda,275,66
51301723920,acb,276,79
51301747136,bee,222,63
51301778793,dcd,66,251
51301801383,ebb,164,53
51301876871,ggb,253,219
51301960320,cbb,198,267
51301992216,dcd,9,203
51302004570,dce,162,114
51302043368,dca,217,236
51302075134,edb,85,21
51302094216,ebg,220,115
51302095442,cge,26,246
51302105365,bdb,5,64
51302113554,cba,203,85
51302136746,bcb,268,214
51302186692,eec,54,272
51302198865,acg,243,45
51302200898,bag,220,207
51302225709,eda,195,54
51302260039,bdd,17,232
51302261078,cdg,129,208
51302308354,bga,44,120
51302351857,dcf,136,39
51302378749,acb,271,79
51302431300,ede,248,270
51302471817,efc,85,216
51302477350,cbe,155,224
51302501521,ddc,147,107
51302537028,daa,208,266
51302612225,caf,47,81
51302651354,ggd,177,19
51302679207,eff,209,70
51302721849,egd,119,127
51302736446,dbf,262,297
51302743886,abg,48,14
51302780190,ffc,145,32
51302782102,ebf,15,282
51302790486,ccc,252,197
51302795197,gcg,281,61
51302824667,afe,185,103
51302844226,gca,251,178
51302847524,eag,35,267
51302851930,dac,221,276
51302877429,bce,224,51
51302906543,egc,222,174
51302910509,gad,246,109
51302928027,bgg,53,231
51302979601,gec,263,229
51303028170,bfb,169,192
51303030955,eab,7,143
51303052431,agf,25,49
51303055678,efc,14,237
51303061544,eef,125,130
51303061728,cgf,220,22
51303070147,fec,147,59
51303072894,bce,193,49
51303093492,gdf,89,100
51303111351,dge,244,124
51303128874,adf,98,247
51303167911,ddg,140,105
51303170569,dde,168,205
51303202795,feg,94,190
51303226708,egf,55,111
51303265173,gge,152,14
51303310430,fge,211,216
51303323730,gdd,135,210
51303340559,fea,143,233
51303357017,dbg,107,189
51303364784,bga,277,129
51303383451,cfe,273,190
51303389880,bgc,229,163
51303394090,edg,248,265
51303419127,fda,102,65
51303419307,fbe,92,242
51303448888,cdb,139,45
51303485563,aee,46,171
51303508777,def,45,100
51303721529,bgg,34,217
51303724587,fgc,184,245
51303745722,cde,21,194
51303751630,age,210,277
51303756860,bea,96,268
51303761250,dga,135,295
51303776336,cdd,111,159
51303796442,cac,59,255
51303813523,gaf,223,263
51303826147,fee,104,176
51303827670,gfc,220,128
51303836885,eaf,131,206
51303843124,bdf,60,231
51303854466,ecd,34,40
51303860524,ccd,132,41
51303884020,agf,244,50
51303897352,edd,146,64
51304005594,agg,7,18
51304045355,beb,257,57
51304047892,dgg,161,5
51304068413,feb,64,135
51304069566,gfa,66,109
51304080914,ddd,24,282
51304091913,ade,95,76
51304099523,bdb,138,61
51304165795,aaf,248,154
51304184259,fga,109,283
51304199820,gdd,182,180
51304209511,ece,23,128
51304217195,ded,39,149
51304219132,cae,34,109
51304241745,bca,179,280
51304304968,ccd,124,36
51304306657,fbb,279,277
51304372372,bec,139,233
51304381549,fdc,46,347
51304397251,gea,106,259
51304421038,abd,204,258
51304475397,gca,93,172
51304476687,bbg,25,191
51304486630,cbe,223,248
51304500177,ffe,129,7
51304512702,abc,68,116
51304548585,ccc,6,171
51304596460,eaa,52,262
51304628894,dce,196,126
51304654099,bbe,56,9
51304712641,eda,219,56
51304745166,dfe,236,285
51304750198,faf,76,207
51304756662,bfe,108,137
51304759824,aff,172,252
51304789510,faf,137,221
51304798547,fcb,125,233
51304800187,cbd,174,259
51304811099,ddc,6,97
51304832443,acc,147,256
51304847561,fgc,65,227
51304847930,dcc,248,156
51304857701,dag,176,204
51304860075,cad,180,219
51304867709,caa,95,263
51304872565,gbf,124,281
51304928557,cda,258,6
51304967502,ada,158,75
51305023441,cde,191,164
51305047072,acf,83,282
51305047247,beb,51,52
51305049101,edb,146,18
51305055845,bfg,206,109
51305062021,eee,220,16
51305073226,gae,39,64
51305076288,gfg,41,216
51305112245,fec,72,60
51305120913,cfb,262,255
51305128050,bdg,129,59
51305141164,fdg,193,54
51305154877,fbd,232,241
51305177003,cbe,233,203
51305183680,gfd,13,153
51305234805,fgc,275,265
51305333722,bac,144,116
51305339810,efa,275,298
51305348455,gde,129,177
51305350923,cfc,247,259
51305376192,ecf,70,249
51305399383,eef,214,113
51305401190,efe,23,78
51305408220,bgb,241,167
51305443054,gda,26,224
51305443286,efd,248,134
51305456342,ebd,30,111
51305480134,gbd,234,84
51305498219,dfd,35,98
51305514231,eda,18,61
51305552958,ddd,232,307
51305569551,gbb,198,27
51305592395,gaf,254,213
51305638974,gdc,146,249
51305677997,cca,271,64
51305690989,cda,143,5
51305745723,dfa,250,214
51305753776,feb,257,157
51305760969,gdb,187,210
51305763624,gcc,104,108
51305797485,cab,224,211
51305803390,gab,212,266
51305857505,bge,118,237
51305863718,bfa,123,153
51305873857,ggc,194,169
51305881537,aac,88,60
51305924091,fbg,221,155
51305960369,deb,29,213
51305973169,cdc,239,132
51305993700,ged,79,242
51306076424,edc,223,36
51306113386,fdb,78,130
51306130823,cbe,199,166
51306142192,efa,118,280
51306149680,bba,164,27
51306152812,cdb,198,38
51306180287,ege,50,99
51306185069,ffa,223,25
51306222964,aag,170,258
51306232341,bbd,229,152
51306255715,efb,155,57
51306294229,dbf,29,279
51306301465,gfe,145,40
51306304286,daf,85,77
51306316525,ecb,62,144
51306317113,aca,176,137
51306328126,ega,269,174
51306330120,gca,107,196
51306333900,dcd,24,215
51306337714,deg,47,124
51306341993,dcg,282,140
51306347442,dfb,207,265
51306349658,aaa,104,256
51306374112,ccf,242,118
51306376203,ccb,130,53
51306393757,fbe,219,227
51306395608,dbd,93,95
51306405563,gaa,195,220
51306456019,cbg,206,288
51306459266,aag,30,296
51306492948,cce,182,102
51306521482,fcb,269,260
51306528609,bde,24,179
51306554310,fag,61,50
51306559900,geb,84,271
51306595777,fac,61,16
51306603585,aac,233,52
51306623599,eff,6,62
51306655572,cfg,37,209
51306658808,bae,291,13
51306660976,dfa,279,241
51306684416,abd,199,219
51306689742,bfc,292,182
